Câu h?i;Ph??ng án A;Ph??ng án B;Ph??ng án C;Ph??ng án D;?áp án ?úng
Câu 1: Câu tr? l?i sau ?ây, câu nào di?n ??t ch?a chu?n xác:;Ch? ngh?a Mác là h?c thuy?t v? s? gi?i phóng giai c?p công nhân.;Ch? ngh?a Mác là m?t h? th?ng lý lu?n khoa h?c và cách m?ng.;Ch? ngh?a Mác là th? gi?i quan và ph??ng pháp lu?n chung c?a m?i nh?n th?c và th?c ti?n.;Ch? ngh?a Mác ???c c?u thành t? ba b? ph?n: tri?t h?c, kinh t? chính tr? và ch? ngh?a xã h?i khoa h?c.;C
Câu 2: Phát ki?n v? ??i nh?t c?a Các Mác trên l?nh v?c nghiên c?u tri?t h?c và kinh t? chính tr? là:;Tìm ra quy lu?t v?n ??ng c?a t? nhiên.;Hoàn thi?n phép bi?n ch?ng c?a Hêghen.;Phát tri?n ch? ngh?a xã h?i không t??ng.;Sáng t?o ra ch? ngh?a duy v?t l?ch s? và h?c thuy?t giá tr? th?ng d?.;D
Câu 3: Trong tác ph?m kinh ?i?n sau ?ây, tác ph?m nào ???c ?ánh giá là v?n ki?n ??u tiên có tính c??ng l?nh c?a ch? ngh?a Mác, th? hi?n s? chín mu?i v? m?t th? gi?i quan m?i c?a C. Mác và ?ngghen:;H? t? t??ng ??c (1845).;S? kh?n cùng c?a tri?t h?c (1847).;B? T? b?n (1867).;Tuyên ngôn c?a ??ng c?ng s?n (1848).;D
Câu 4: Trong ch? ngh?a Mác - Lênin, b? ph?n lý lu?n nào có ch?c n?ng làm sáng t? b?n ch?t và nh?ng quy lu?t chung nh?t c?a m?i s? v?n ??ng, phát tri?n c?a th? gi?i?;Tri?t h?c Mác - Lênin.;Kinh t? chính tr? Mác - Lênin.;Ch? ngh?a xã h?i khoa h?c.;L?ch s? ??ng C?ng s?n.;A
Câu 5: Trong các câu h?i sau ?ây, câu h?i nào là bi?n th? c?a cách di?n ??t v?n ?? c? b?n c?a tri?t h?c:;Con ng??i có th? ??t t?i chân lý tuy?t ??i không?;N?i dung c?a các t? t??ng c?a con ng??i xu?t hi?n t? ?âu và b?ng cách nào?;??ng l?c phát tri?n c?a xã h?i là gì?;Th? gi?i v?n ??ng theo quy lu?t nào?;B
"Câu 6: Khái ni?m: ""Nh?ng nguyên lý c? b?n c?a ch? ngh?a Mác - Lênin"" là ch?:";T?t c? các tác ph?m c?a Mác, ?ngghen, Lênin.;Nh?ng lu?n ?i?m ?ã l?i th?i c?a ch? ngh?a Mác - Lênin.;Nh?ng ?ng d?ng c? th? c?a ch? ngh?a Mác - Lênin ? m?i qu?c gia.;Nh?ng quan ?i?m c? b?n, n?n t?ng và có tính ch?t chân lý b?n v?ng c?a ch? ngh?a Mác - Lênin.;D
Câu 7: Ch? ngh?a Mác - Lênin là h?c thuy?t khoa h?c:;Là m?t h? th?ng giáo ?i?u, c?ng nh?c, không thay ??i.;Ch? ?úng trong th? k? XIX.;Ch? áp d?ng cho các n??c ph??ng Tây.;Không ng?ng phát tri?n trên c? s? t?ng k?t nh?ng thành t?u m?i c?a s? phát tri?n các khoa h?c và th?c ti?n.;D
Câu 8: Trong tác ph?m kinh ?i?n nào sau ?ây, tác ph?m nào th? hi?n s? t?p trung ??y ?? nh?t n?i dung lý lu?n kinh t? chính tr? h?c c?a ch? ngh?a Mác? Tác ph?m ?ó c?a ai?;Tuyên ngôn c?a ??ng C?ng s?n/ C. Mác và Ph. ?ngghen.;Ch?ng ?uy-rinh/ Ph. ?ngghen.;B? T? b?n/ C. Mác.;Nhà n??c và cách m?ng/ V.I. Lênin.;C
Câu 9: Trong tác ph?m kinh ?i?n nào sau ?ây, tác ph?m nào th? hi?n t?p trung vi?c V.I. Lênin ?ã k? th?a và phát tri?n quan ni?m c?a ch? ngh?a Mác v? v?t ch?t, v? m?i quan h? gi?a v?t ch?t và ý th?c, t?n t?i xã h?i và ý th?c xã h?i:;Làm gì?/ V.I. Lênin.;Ch? ngh?a duy v?t và ch? ngh?a kinh nghi?m phê phán.;Bút ký tri?t h?c/ V.I. Lênin.;Nhà n??c và cách m?ng/ V.I. Lênin.;B
Câu 10: Trong tác ph?m kinh ?i?n nào sau ?ây, tác ph?m nào th? hi?n t?p trung vi?c V.I. Lênin ?ã k? th?a và phát tri?n t? t??ng bi?n ch?ng trong tri?t h?c c?a G.W.Ph. Hêghen?;Làm gì?/ V.I. Lênin.;Hai sách l??c c?a ??ng dân ch? - xã h?i trong cách m?ng dân ch?/ V.I. Lênin.;Ch? ngh?a ?? qu?c, giai ?o?n t?t cùng c?a ch? ngh?a t? b?n/ V.I. Lênin.;Bút ký tri?t h?c.;D
